index,Singleplayer,Indie,Adventure,Action,Casual,Simulation,2D,RPG,Story Rich,Strategy,Atmospheric,3D,Exploration,Early Access,Multiplayer,Fantasy,First-Person,Colorful,Anime,Cute,Puzzle,Female Protagonist,Open World,Sci-fi,Pixel Graphics,Funny,Action-Adventure,Shooter,Third Person,Sandbox
427520,1243,1069,0,0,0,1218,1376,0,0,2171,0,0,0,0,2037,0,0,0,0,0,0,0,1752,0,1203,0,0,0,0,2877
203160,1472,0,3090,2706,0,0,0,388,1273,0,799,0,1092,0,1187,0,0,0,0,0,764,1887,0,0,0,0,865,769,1570,0
268910,707,1101,0,854,0,0,1243,0,0,0,0,0,0,0,1188,0,0,666,0,0,0,0,0,0,0,627,0,0,0,0
1426210,0,0,670,301,0,0,0,0,542,0,277,0,283,0,1022,0,0,0,0,0,756,235,0,0,0,0,357,0,0,0
1144200,965,0,0,761,0,0,0,0,0,0,501,0,0,0,1059,0,874,0,0,0,0,0,0,0,0,0,0,1071,0,0
526870,427,391,662,0,0,580,0,0,0,532,0,0,869,588,1283,0,539,0,0,0,0,0,1307,437,0,0,0,0,0,1027
393380,0,0,0,884,0,788,0,0,0,824,700,0,0,0,1596,0,924,0,0,0,0,0,715,0,0,0,0,1522,0,0
518790,0,0,0,0,0,813,0,0,0,0,0,0,0,0,1108,0,784,0,0,0,0,0,1190,0,0,0,0,738,0,834
588650,3475,1108,3996,3451,0,0,3634,0,0,0,3391,0,0,0,0,0,0,0,0,0,0,0,0,0,3674,3347,0,0,0,0
379720,1478,0,0,2304,0,0,0,0,0,0,992,0,0,0,1467,0,1722,0,0,0,0,0,0,1225,0,0,0,1956,0,0
1238840,373,0,0,285,0,0,0,0,0,0,228,0,0,0,412,0,278,0,0,0,0,0,171,0,0,0,0,356,0,0
813780,295,0,58,75,0,0,83,0,0,866,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48700,900,356,1019,1570,0,648,0,2504,0,1885,0,0,0,0,1646,396,808,0,0,0,0,0,2410,0,0,0,0,0,678,1770
1332010,909,572,1065,362,0,0,0,0,0,0,913,0,850,0,0,0,0,358,0,874,694,0,462,595,0,0,0,0,714,0
1172380,0,0,730,827,0,0,0,779,908,0,695,0,844,0,0,702,0,0,0,0,731,0,902,837,0,0,1029,0,985,0
262060,1033,741,0,0,0,0,713,1834,0,936,878,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057090,689,316,616,670,0,0,324,0,519,0,566,0,476,0,0,316,0,0,0,468,372,0,272,0,0,0,420,0,0,0
281990,930,0,0,0,0,1843,0,0,0,2075,772,0,1895,0,990,0,0,0,0,0,0,0,0,2045,0,0,0,0,0,1879
671860,0,342,0,459,0,0,0,0,0,0,0,347,0,339,594,0,412,0,0,0,0,0,0,0,0,0,0,589,0,0
433340,2110,890,2203,601,1136,1147,0,0,0,0,0,0,2347,599,0,1028,1958,1916,0,3084,0,795,2024,0,0,1265,0,0,0,1171
362890,721,353,525,865,0,0,0,0,612,0,637,0,0,241,397,0,745,0,0,0,0,0,0,807,0,0,0,651,0,0
883710,768,0,325,616,0,0,0,0,480,0,529,0,0,0,431,0,0,0,0,0,531,382,0,0,0,0,0,327,719,0
8870,1954,0,912,2284,0,0,0,280,2649,0,1721,0,0,0,0,367,1450,0,0,0,0,0,0,598,0,0,0,1547,0,0
1229490,891,0,0,718,0,0,0,0,0,0,0,0,0,2294,0,0,819,791,0,0,0,0,0,0,0,0,0,869,0,0
361420,1028,946,1748,0,0,981,0,0,0,0,994,0,2394,0,2829,0,0,1008,0,0,0,0,2823,1143,0,0,0,0,1003,2015
220200,1039,1284,589,0,0,2752,0,0,0,570,0,0,1013,0,0,0,0,0,0,0,0,0,1045,664,0,802,0,0,0,2481
1222140,848,0,611,0,0,0,0,0,1532,0,450,0,0,0,0,0,0,0,0,0,0,272,0,606,0,0,0,0,405,0
244210,333,184,0,145,0,1657,0,0,0,0,0,0,0,0,1251,0,234,0,0,0,0,0,410,0,0,0,0,0,0,0
387990,1119,1006,1108,1037,0,1061,0,0,0,0,0,0,0,1061,1834,0,1114,0,0,0,0,0,1833,0,0,1067,0,0,1100,1861
225540,992,0,953,1496,0,0,0,193,0,0,384,0,706,0,1061,0,0,0,0,0,0,0,1901,0,0,542,0,952,862,881
379430,937,297,782,578,0,0,0,1406,790,0,429,0,0,0,0,0,778,0,0,0,0,0,1336,0,0,0,0,0,0,0
524220,2021,0,1356,3097,0,0,0,2452,3717,0,1672,0,0,0,0,0,0,0,2137,0,0,3316,2448,1627,0,0,0,0,0,0
1868140,351,0,435,230,461,393,313,419,304,0,0,0,378,226,0,0,0,0,0,0,0,0,0,0,505,293,0,0,0,0
244850,1005,1069,783,952,0,1842,0,0,0,855,0,0,0,678,2353,0,0,0,0,0,0,0,1743,1061,0,0,0,0,0,3075
581320,0,110,0,633,0,193,0,0,0,0,228,0,0,0,697,0,557,0,0,0,0,0,163,0,0,0,0,880,0,0
1593500,816,0,767,884,0,0,0,480,773,0,353,247,388,0,0,410,0,0,0,0,0,0,414,0,0,0,0,0,522,0
220240,916,0,1499,1759,0,0,0,295,586,0,455,0,0,0,1205,0,987,397,0,0,0,0,2458,0,0,0,0,1141,0,610
412020,1239,0,736,1077,0,0,0,0,1235,0,1161,0,640,0,0,0,1005,0,0,0,0,0,1244,349,0,0,0,882,0,0
1449560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305620,1920,876,1701,456,0,1094,0,0,0,556,2083,0,2239,385,0,0,1874,0,0,0,0,0,2832,0,0,0,0,0,0,1306
629760,0,804,0,1333,0,0,0,0,0,0,0,0,0,0,2071,0,2016,0,0,0,0,0,0,0,0,0,0,0,861,0
304390,637,0,0,1191,0,0,0,335,287,435,394,0,0,0,1114,322,0,0,0,0,0,0,0,0,0,0,0,0,911,0
1151640,952,0,1041,797,0,0,0,804,811,0,418,0,536,0,0,0,0,0,0,0,0,959,1273,583,0,0,0,0,554,0
2050650,316,0,176,428,0,0,0,0,294,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,168,0
323190,630,0,0,0,0,617,0,0,0,1546,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222880,484,606,220,1637,0,563,0,0,0,824,462,0,0,0,1949,0,966,0,0,0,0,0,0,0,0,0,0,1754,0,0
236850,1230,0,0,0,0,2682,0,0,0,2784,0,0,0,0,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214
632470,551,395,395,0,0,0,0,1058,950,0,570,0,398,0,0,0,0,0,0,0,0,0,380,0,0,392,0,0,0,0
211820,0,2771,3209,2480,0,0,2560,2408,0,0,2400,0,2816,0,2877,0,0,0,0,0,0,0,2837,1419,2942,0,0,0,0,4720
899770,69,85,109,113,0,0,0,225,0,0,0,0,0,46,156,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504230,667,1052,520,346,0,0,657,0,634,0,385,0,246,0,0,0,0,0,0,492,0,799,0,0,1165,0,0,0,0,0
1167630,540,395,0,457,0,484,0,0,0,0,0,477,0,0,0,0,607,0,0,0,435,0,525,0,0,0,0,0,0,756
238320,1026,632,792,772,0,0,0,0,0,0,1313,0,0,0,541,0,1454,0,0,0,0,0,0,191,0,0,0,0,0,0
594570,323,0,0,370,0,0,0,0,151,1347,150,0,0,0,455,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204360,1073,0,2036,1502,964,0,2088,973,0,0,0,0,0,0,1550,0,0,0,0,1003,0,0,0,0,0,2049,0,0,0,0
513710,425,249,456,515,0,0,0,228,0,0,0,0,0,445,1036,0,0,0,0,0,0,0,1008,0,0,0,0,0,319,0
601150,648,0,305,1691,0,0,0,0,416,0,0,0,0,0,338,0,0,0,271,0,0,0,0,0,0,0,0,0,670,0
221380,704,0,171,222,0,0,271,0,0,2755,0,0,0,0,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1217060,120,250,216,243,0,0,0,216,0,0,0,0,0,111,420,0,172,0,0,0,0,0,0,0,0,0,0,199,0,0
848450,889,0,714,0,0,0,0,0,413,0,422,0,809,384,489,0,581,0,0,0,0,0,880,517,0,0,0,0,0,369
1604030,367,0,362,372,0,0,0,0,0,0,0,0,400,0,727,0,0,0,0,0,0,0,813,0,0,0,366,0,0,419
686810,730,380,0,742,0,553,0,0,0,472,0,0,0,0,822,0,543,0,0,0,0,0,0,0,0,0,0,845,0,0
1361210,0,0,601,392,0,0,0,0,0,0,356,0,0,0,577,0,421,0,0,0,0,0,0,349,0,0,0,477,0,0
552500,533,0,533,571,0,0,0,580,0,0,537,0,0,0,752,0,1214,0,0,0,0,0,0,0,0,0,0,0,0,0
219990,2030,739,1491,1779,0,0,0,5851,0,0,1053,0,0,0,2465,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613100,976,375,0,0,897,1184,0,0,0,0,0,509,0,0,368,0,526,0,0,0,0,0,0,0,0,0,0,0,0,944
376210,0,232,500,432,0,701,0,230,0,239,0,0,0,472,863,0,0,0,0,0,0,0,893,0,0,0,0,0,398,318
460930,1050,0,582,1078,0,0,0,0,0,405,330,0,0,0,1122,0,385,0,0,0,0,0,1817,0,0,0,0,1450,590,391
1196590,495,0,234,430,0,0,0,0,352,0,328,0,0,0,158,0,512,0,0,0,0,0,192,0,0,0,0,0,0,0
286690,696,0,371,768,0,0,0,0,796,0,876,0,0,0,237,0,593,0,0,0,0,0,68,0,0,0,0,551,0,0
976310,298,0,0,659,0,0,0,0,279,0,196,0,0,0,759,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0
356190,680,0,601,794,0,0,0,746,411,260,270,0,0,0,0,680,0,0,0,0,0,0,1134,0,0,0,0,0,522,0
1366540,176,76,0,0,33,313,0,0,0,203,0,144,0,100,0,0,0,0,0,0,0,0,335,286,0,0,0,0,134,273
635260,81,0,0,24,26,171,0,0,0,0,0,0,0,24,190,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0
233860,694,506,463,0,0,469,0,1265,0,808,0,0,0,0,0,0,0,0,0,0,0,0,1615,0,0,0,0,0,0,1338
311690,715,1047,0,840,0,0,824,0,0,0,0,0,0,0,863,0,0,0,0,654,0,0,0,0,1757,647,0,722,0,0
1158310,511,0,0,0,0,813,0,804,0,1089,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522
39210,0,0,451,444,0,0,0,587,468,0,444,0,440,0,458,520,0,0,0,0,0,435,463,0,0,0,0,0,448,0
440900,532,0,692,689,0,0,0,862,0,0,0,0,576,0,1115,518,0,0,0,0,0,0,1581,0,0,0,0,0,0,869
570940,0,0,730,1285,0,0,0,1347,675,0,955,0,670,0,707,1039,0,0,0,0,0,0,0,0,0,0,0,0,672,0
1313140,645,0,464,460,0,0,463,0,0,403,0,0,0,0,0,451,0,399,0,693,0,0,0,0,0,447,0,0,387,0
447040,1128,0,964,1819,0,0,0,0,155,0,451,0,0,0,1815,0,0,0,0,0,0,0,2412,0,0,97,0,1338,1456,104
383870,1204,822,1700,0,317,0,0,0,1641,0,1657,0,1192,0,0,0,1259,448,0,0,0,0,888,0,0,513,0,0,0,0
703080,493,0,0,0,236,858,0,0,0,418,0,0,0,0,302,0,0,0,0,459,0,0,269,0,0,209,0,0,0,657
620980,379,374,0,364,357,0,0,0,0,0,0,0,0,334,368,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0
516750,532,318,306,0,0,965,0,0,0,0,0,0,0,447,0,0,610,0,0,0,240,0,894,0,0,447,0,0,0,427
335300,389,0,490,725,0,0,0,1121,238,0,677,0,0,0,526,483,0,0,0,0,0,0,0,0,0,0,0,0,713,0
636480,849,389,138,752,0,371,0,0,0,401,152,0,0,566,0,0,684,0,0,0,0,0,0,0,0,488,0,828,0,644
389730,232,0,0,658,0,0,0,0,110,0,42,0,0,0,617,0,0,0,149,0,0,0,0,0,0,0,0,0,77,0
231430,608,0,58,288,0,161,0,0,0,8443,171,0,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150690,0,1552,0,0,0,0,884,1261,1876,0,782,0,637,0,0,511,0,862,519,0,0,0,0,0,1606,0,0,0,0,0
1446780,242,0,0,381,0,0,0,314,0,0,127,157,0,0,302,194,0,0,177,0,0,0,103,0,0,0,0,0,238,0
787860,353,0,0,0,0,855,0,0,0,135,138,0,0,0,559,0,196,0,0,0,0,0,414,0,0,0,0,0,0,0
424370,160,202,263,435,0,0,0,437,0,0,0,0,0,0,440,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282070,1198,758,0,0,0,1028,0,0,788,1176,1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287700,1193,0,951,1933,0,0,0,0,1858,0,1075,0,0,0,904,0,0,0,0,0,0,0,2227,590,0,0,0,820,1402,790
881100,0,840,0,752,0,0,808,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,0,950,0,621,0,0,806
646910,171,0,99,267,0,141,0,0,0,0,101,0,0,0,488,0,150,0,0,0,0,0,625,0,0,0,0,0,144,101
1113000,839,0,406,0,0,0,0,913,1122,359,0,0,0,0,0,0,0,475,1083,0,0,0,0,0,0,0,0,0,0,0
289650,889,0,1491,1739,0,168,0,436,842,0,880,0,0,0,1289,0,0,0,0,0,0,0,2330,0,0,0,0,0,1183,0
235460,735,0,315,1714,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,740,0
414340,647,326,572,439,0,0,0,0,883,0,943,0,0,0,0,269,0,0,0,0,0,881,0,0,0,0,269,0,530,0
254700,628,0,563,907,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,454,0
1151340,287,0,0,0,0,0,0,856,0,0,273,0,343,213,840,0,0,0,0,0,0,0,908,0,0,0,0,463,0,0
1259420,622,0,319,406,0,0,0,0,355,0,0,0,0,0,509,0,0,0,0,0,0,0,886,0,0,0,368,0,352,0
418370,683,0,416,512,0,0,0,0,414,0,630,0,289,0,381,0,803,0,0,0,418,0,0,0,0,0,0,281,0,0
1030840,236,0,217,299,0,0,0,0,289,0,131,0,0,0,160,0,0,0,0,0,0,0,314,0,0,0,0,125,144,0
206420,372,0,598,1434,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,320,1734,367,0,718,0,0,648,743
747660,1147,650,730,739,0,0,0,0,645,0,257,836,954,0,0,0,1022,497,0,0,0,0,0,0,0,0,515,0,0,0
753640,560,502,736,193,0,248,0,0,776,0,676,234,1007,0,0,0,475,0,0,0,631,0,597,510,0,0,0,0,0,0
962130,213,0,509,319,0,0,0,166,0,0,0,0,335,115,835,0,223,0,0,114,0,0,493,0,0,109,0,0,136,242
387290,588,324,737,464,0,0,392,0,651,0,1072,0,0,0,0,435,0,0,0,530,285,0,228,0,0,0,0,0,0,0
287390,585,0,380,703,0,0,0,0,686,0,788,0,0,0,164,0,573,0,0,0,0,0,112,202,0,0,0,530,0,0
952060,260,0,124,484,0,0,0,0,155,0,142,0,0,0,308,0,0,0,0,0,0,312,0,0,0,0,0,0,232,0
17390,0,0,928,0,1342,1377,0,0,0,0,0,0,1389,0,0,0,0,919,0,1334,0,0,1443,954,0,1300,0,0,0,1405
638970,388,0,353,676,0,0,0,411,694,0,233,0,0,0,0,0,0,0,0,0,0,0,465,0,0,391,0,0,305,0
238460,786,774,0,797,787,0,815,0,0,0,0,0,0,0,1126,0,0,0,0,0,765,0,0,0,0,1431,0,0,0,0
2231450,568,707,203,493,0,0,470,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,532,576,0,0,0,0
304430,1033,1043,1034,997,0,0,0,0,1061,0,1075,0,0,0,0,0,0,0,0,0,995,0,0,0,0,0,1010,0,0,0
493340,578,0,0,0,314,1202,0,0,0,589,567,303,0,0,0,0,291,562,0,0,0,0,0,0,0,581,0,0,551,865
1248130,0,0,0,0,0,775,0,0,0,0,0,536,0,0,659,0,526,0,0,0,0,0,500,0,0,0,0,0,463,554
1466860,258,0,0,0,0,0,0,0,0,526,0,89,0,0,269,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
